,Initial Value,Final Value,Number of Votes,Yays,Majority Party Size,Distance between Medians,Majority St. Dev.,Majority Round Adjustment,Minority St. Dev.,Minority Round Adjustment
6270,0.1246017434461842,0.00460174344618422,13.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6271,0.301180549131565,0.16118054913156502,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6272,0.15461671232879343,0.037670668900886384,17.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6273,-0.03747918317521892,-0.03747918317521892,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6274,0.06933147897773555,0.01406628852982783,14.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6275,0.28004130667061655,0.11004130667061654,18.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6276,-0.13349259130215307,-0.027165786571393236,14.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6277,0.21036822002327468,0.07036822002327467,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6278,-0.20472888189449426,-0.09472888189449427,12.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6279,-0.31001045756594214,-0.13001045756594212,19.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6280,0.07089627839121974,-0.010940820305784582,15.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6281,0.1865154581834048,0.04651545818340477,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6282,0.17818867417388293,0.028188674173882905,16.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6283,-0.13619017812132778,-0.036190178121327785,11.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6284,-0.04202147471369748,-0.060557800136451415,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6285,-0.16794451023435789,-0.04794451023435789,13.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6286,0.0442721879850977,0.0019008559213680443,14.0,59.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6287,0.03692004198246819,0.0008660258083817707,15.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6288,0.1386167534564986,0.008616753456498594,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6289,-0.18329970269349927,-0.05329970269349926,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6290,0.0018813173168427295,-0.015443070001862624,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6291,0.003615783342250007,-0.0013201994984731735,15.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6292,0.22838830255748777,0.08838830255748775,15.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6293,0.0933827815177485,0.037097167608069026,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6294,0.18641696602786992,0.056416966027869914,14.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6295,-0.13448388403649175,-0.029974694416340528,15.0,57.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6296,-0.14758461985186125,-0.007584619851861235,15.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6297,0.06520262628593328,0.001473113485409766,15.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6298,0.23655612394009642,0.10655612394009642,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6299,0.025410622122539212,-0.01545852710351761,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6300,0.009879965830101662,-0.00786444334115477,15.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6301,-0.17508276417348706,-0.045082764173487055,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6302,-0.06693243464189512,-0.014360729869610844,15.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6303,-0.15734107211490259,-0.017341072114902573,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6304,-0.0685399088066518,0.016395856680741533,14.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6305,-0.105301267157014,-0.01777526498157403,13.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6306,0.17052065460764415,0.040520654607644147,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6307,-0.11597909781782641,-0.006280935421247941,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6308,-0.12929639757572656,-0.01123986666450899,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6309,0.08554222118908668,0.023272776761148833,15.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6310,0.1871007859206242,0.047100785920624194,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6311,0.12209700001408126,0.03000746525778797,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6312,0.013763302458415616,0.013763302458415616,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6313,-0.2500695295738251,-0.11006952957382513,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6314,-0.09295996569371802,-0.002577254395785933,14.0,58.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6315,0.1263543263143247,0.0023938908552796068,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6316,-0.035403573055803064,-0.0023856253323500665,13.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6317,-0.03002774712330997,0.02749584165841179,14.0,56.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6318,-0.15618486239871823,-0.02618486239871823,14.0,57.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6319,-0.15837466779045647,-0.03837466779045648,13.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6320,0.08724253859760135,0.008137663525982025,16.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6321,0.3538774475797075,0.1938774475797075,17.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6322,-0.1260039054437629,-0.0160039054437629,12.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6323,-0.29076832208501524,-0.12076832208501523,18.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6324,-0.24199699071044553,-0.09199699071044551,16.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6325,-0.22453429154280258,-0.09453429154280257,14.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6326,-0.15995079107841642,-0.039950791078416426,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6327,0.2648520265261478,0.12485202652614782,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6328,0.2696767852660548,0.13967678526605484,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6329,0.23196405708019605,0.07196405708019601,17.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6330,-0.13273988500050393,-0.02880402011113395,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6331,-0.1847729702622373,-0.024772970262237265,17.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
